id,title,category,servings,prepMinutes,cookMinutes,ingredients,steps,notes
1,Pan-Seared Lentils,Breakfast,6,8,37,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 37, ""seconds"": 0}]",Automatically generated sample recipe.
2,Grilled Beef,Dinner,2,6,33,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 33, ""seconds"": 0}]",Automatically generated sample recipe.
3,Pan-Seared Rice,Lunch,6,14,39,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 39, ""seconds"": 0}]",Automatically generated sample recipe.
4,Stir-Fried Pork,Seafood,2,15,10,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 10, ""seconds"": 0}]",Automatically generated sample recipe.
5,Roasted Rice,Seafood,6,10,40,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 40, ""seconds"": 0}]",Automatically generated sample recipe.
6,Grilled Lentils,Dinner,4,11,33,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 33, ""seconds"": 0}]",Automatically generated sample recipe.
7,Stir-Fried Chicken,Breakfast,2,10,32,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 32, ""seconds"": 0}]",Automatically generated sample recipe.
8,Grilled Rice,Vegan,4,18,28,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 28, ""seconds"": 0}]",Automatically generated sample recipe.
9,Roasted Vegetables,Snack,6,14,10,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 10, ""seconds"": 0}]",Automatically generated sample recipe.
10,Stewed Shrimp,Snack,6,10,35,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 35, ""seconds"": 0}]",Automatically generated sample recipe.
11,Slow-Cooked Pasta,Dinner,4,12,14,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 14, ""seconds"": 0}]",Automatically generated sample recipe.
12,Pan-Seared Lentils,Dessert,6,19,34,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 34, ""seconds"": 0}]",Automatically generated sample recipe.
13,Baked Beef,Breakfast,2,14,19,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 19, ""seconds"": 0}]",Automatically generated sample recipe.
14,Roasted Pasta,Lunch,4,20,38,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 38, ""seconds"": 0}]",Automatically generated sample recipe.
15,Roasted Rice,Breakfast,2,5,12,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 12, ""seconds"": 0}]",Automatically generated sample recipe.
16,Roasted Salmon,Dessert,4,15,40,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 40, ""seconds"": 0}]",Automatically generated sample recipe.
17,Stir-Fried Salmon,Dessert,6,13,31,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 31, ""seconds"": 0}]",Automatically generated sample recipe.
